mad_timestamp(s),mad_accel(m/s2),low,init_gap,cont_gap,frechet_euclidean,frechet_manhattan,frechet_lca_euclidean,frechet_lca_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,p2p_mean_lca_euclidean_mean,p2p_mean_lca_euclidean_std,p2p_mean_lca_euclidean_max,p2p_mean_lca_manhattan_mean,p2p_mean_lca_manhattan_std,p2p_mean_lca_manhattan_max,percentage_gaps,percentage_gaps_lca,percentage_matched_snapshots,percentage_matched_snapshots_lca,percentage_mismatched_snapshots,percentage_mismatched_snapshots_lca
0.0,0.0,200,-1.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1438848920863336,0.0,0.0,0.0,99.85611510791367,100.0
0.02,0.02,200,-1.0,-0.1,0.01962,0.01962,0.019016999999999173,0.019016999999999173,16.0,19.36860493538079,112,7,0.008597264705882051,0.006007665426696921,0.01962,0.008597264705882051,0.006007665426696921,0.01962,0.008773875000000141,0.005740161418407541,0.019016999999999173,0.008773875000000141,0.005740161418407541,0.019016999999999173,8.201438848920866,9.302325581395351,53.81294964028777,37.2093023255814,37.985611510791365,53.48837209302325
0.04,0.04,200,-1.0,-0.1,0.0382590000000001,0.0382590000000001,0.03752800000000078,0.03752800000000078,12.444444444444445,12.772462662663603,112,9,0.013972123505975839,0.01105238905888911,0.038806000000000895,0.013972123505975839,0.01105238905888911,0.038806000000000895,0.015924433962264284,0.011028314643148402,0.038806000000000895,0.015924433962264284,0.011028314643148402,0.038806000000000895,8.201438848920866,3.4883720930232585,72.23021582733813,61.627906976744185,19.568345323741006,34.883720930232556
0.06,0.06,200,-1.0,-0.1,0.0578790000000001,0.0578790000000001,0.05677400000000052,0.05677400000000052,11.4,12.760877712759417,114,10,0.01846222625215867,0.015737203580506502,0.0578790000000001,0.01846222625215867,0.015737203580506502,0.0578790000000001,0.022027594202898702,0.016313350090299165,0.05677400000000052,0.022027594202898702,0.016313350090299165,0.05677400000000052,8.345323741007189,4.651162790697672,83.30935251798562,80.23255813953489,8.345323741007196,15.11627906976744
0.08,0.08,200,-1.0,-0.1,0.0765180000000003,0.0765180000000003,0.07382300000000008,0.07382300000000008,11.4,12.760877712759417,114,10,0.02117593790849651,0.019109029867060277,0.0765180000000003,0.02117593790849651,0.019109029867060277,0.0765180000000003,0.023957555555555697,0.01849751984342834,0.07382300000000008,0.023957555555555697,0.01849751984342834,0.07382300000000008,8.345323741007189,4.6511627906976685,88.05755395683454,83.72093023255815,3.597122302158273,11.627906976744185
0.1,0.1,200,-1.0,-0.1,0.0961380000000003,0.0961380000000003,0.09300700000000012,0.09300700000000012,11.4,12.760877712759417,114,10,0.022932414012738638,0.021783567953117526,0.0961380000000003,0.022932414012738638,0.021783567953117526,0.0961380000000003,0.02490343835616453,0.02004717258852594,0.09300700000000012,0.02490343835616453,0.02004717258852594,0.09300700000000012,8.345323741007189,4.651162790697676,90.35971223021583,84.88372093023256,1.2949640287769784,10.465116279069768
0.12,0.12,200,-1.0,-0.1,0.1196819999999999,0.1196819999999999,0.1196819999999999,0.1196819999999999,12.444444444444445,12.772462662663603,112,9,0.02401466982622412,0.023593584975715648,0.1196819999999999,0.02401466982622412,0.023593584975715648,0.1196819999999999,0.03356001282051298,0.031197514342756586,0.1196819999999999,0.03356001282051298,0.031197514342756586,0.1196819999999999,8.201438848920871,3.4883720930232585,91.07913669064747,90.69767441860465,0.7194244604316548,5.813953488372093
0.14,0.14,200,-1.0,-0.1,0.1343970000000004,0.1343970000000004,0.1343970000000004,0.1343970000000004,14.0,13.124404748406688,112,8,0.024587768503936795,0.024562877557418764,0.13462599999999897,0.024587768503936795,0.024562877557418764,0.13462599999999897,0.03774772500000014,0.035226496469623156,0.13462599999999897,0.03774772500000014,0.035226496469623156,0.13462599999999897,8.201438848920866,3.488372093023261,91.36690647482014,93.02325581395348,0.4316546762589928,3.488372093023256
0.16,0.16,200,-1.0,-0.1,0.1343970000000004,0.1343970000000004,0.1343970000000004,0.1343970000000004,14.0,13.124404748406688,112,8,0.024535242519684825,0.02446756138406364,0.13462599999999897,0.024535242519684825,0.02446756138406364,0.13462599999999897,0.037330800000000136,0.03485157805265061,0.13462599999999897,0.037330800000000136,0.03485157805265061,0.13462599999999897,8.201438848920866,3.488372093023261,91.36690647482014,93.02325581395348,0.4316546762589928,3.488372093023256
0.18,0.18,200,-1.0,-0.1,0.1343970000000004,0.1343970000000004,0.1343970000000004,0.1343970000000004,14.0,13.124404748406688,112,8,0.024933081761006077,0.025482249989078668,0.177561,0.024933081761006077,0.025482249989078668,0.177561,0.03906203703703717,0.0379395778068117,0.177561,0.03906203703703717,0.0379395778068117,0.177561,8.201438848920864,3.4883720930232553,91.51079136690647,94.18604651162791,0.28776978417266186,2.3255813953488373
0.2,0.2,200,-1.0,-0.1,0.1343970000000004,0.1343970000000004,0.1343970000000004,0.1343970000000004,14.0,13.124404748406688,112,8,0.024933081761006077,0.025482249989078668,0.177561,0.024933081761006077,0.025482249989078668,0.177561,0.03906203703703717,0.0379395778068117,0.177561,0.03906203703703717,0.0379395778068117,0.177561,8.201438848920864,3.4883720930232553,91.51079136690647,94.18604651162791,0.28776978417266186,2.3255813953488373
0.22,0.22,200,-1.0,-0.1,0.1343970000000004,0.1343970000000004,0.1343970000000004,0.1343970000000004,14.0,13.124404748406688,112,8,0.025217346938775292,0.026452197265267846,0.2060099999999991,0.025217346938775292,0.026452197265267846,0.2060099999999991,0.04109798780487817,0.04192386554757401,0.2060099999999991,0.04109798780487817,0.04192386554757401,0.2060099999999991,8.201438848920862,3.4883720930232496,91.65467625899281,95.34883720930233,0.14388489208633093,1.1627906976744187
0.24,0.24,200,-1.0,-0.1,0.1344590000000003,0.1344590000000003,0.1343970000000004,0.1343970000000004,14.0,13.124404748406688,112,8,0.02554531191222549,0.02769726294222032,0.2344590000000003,0.02554531191222549,0.02769726294222032,0.2344590000000003,0.04342763855421698,0.04670621828665253,0.2344590000000003,0.04342763855421698,0.04670621828665253,0.2344590000000003,8.201438848920859,3.4883720930232442,91.79856115107914,96.51162790697676,0.0,0.0
0.26,0.26,200,-1.0,-0.1,0.1344590000000003,0.1344590000000003,0.1343970000000004,0.1343970000000004,14.0,13.124404748406688,112,8,0.02554531191222549,0.02769726294222032,0.2344590000000003,0.02554531191222549,0.02769726294222032,0.2344590000000003,0.04342763855421698,0.04670621828665253,0.2344590000000003,0.04342763855421698,0.04670621828665253,0.2344590000000003,8.201438848920859,3.4883720930232442,91.79856115107914,96.51162790697676,0.0,0.0
0.28,0.28,200,-1.0,-0.1,0.1344590000000003,0.1344590000000003,0.1343970000000004,0.1343970000000004,8.615384615384615,11.173722343333809,112,13,0.025416152037617337,0.027767636330329633,0.2344590000000003,0.025416152037617337,0.027767636330329633,0.2344590000000003,0.04342763855421698,0.04670621828665253,0.2344590000000003,0.04342763855421698,0.04670621828665253,0.2344590000000003,8.201438848920859,3.4883720930232442,91.79856115107914,96.51162790697676,0.0,0.0
0.3,0.3,200,-1.0,-0.1,0.1344590000000003,0.1344590000000003,0.1343970000000004,0.1343970000000004,8.615384615384615,11.173722343333809,112,13,0.025416152037617337,0.027767636330329633,0.2344590000000003,0.025416152037617337,0.027767636330329633,0.2344590000000003,0.04342763855421698,0.04670621828665253,0.2344590000000003,0.04342763855421698,0.04670621828665253,0.2344590000000003,8.201438848920859,3.4883720930232442,91.79856115107914,96.51162790697676,0.0,0.0
