delta,normalized_score,score,execution_time,process_time,trace_length
6.5,0.987891019172553,1958.0,31.076790809631348,31.076657599999997,1983
6.6,0.987891019172553,1958.0,34.6770076751709,34.66931650000001,1983
6.699999999999999,0.987891019172553,1958.0,34.10005235671997,34.0947956,1983
6.799999999999999,0.987891019172553,1958.0,37.61768317222595,37.610122200000006,1983
6.899999999999999,0.987891019172553,1958.0,30.919178009033203,30.919166500000017,1983
6.999999999999998,0.987891019172553,1958.0,40.0548779964447,40.054864400000014,1983
7.099999999999998,0.987891019172553,1958.0,45.00375199317932,45.00373730000001,1983
7.1999999999999975,0.987891019172553,1958.0,39.0147066116333,39.014692600000046,1983
7.299999999999997,0.987891019172553,1958.0,35.63521456718445,35.6352028,1983
7.399999999999997,0.987891019172553,1958.0,22.62974500656128,22.629736400000013,1983
7.4999999999999964,0.987891019172553,1958.0,22.42992877960205,22.42991470000004,1983
7.599999999999996,0.987891019172553,1958.0,22.17685580253601,22.176776399999994,1983
7.699999999999996,0.987891019172553,1958.0,22.0799241065979,22.07986599999998,1983
7.799999999999995,0.987891019172553,1958.0,22.311352491378784,22.31134129999998,1983
7.899999999999995,0.987891019172553,1958.0,22.085991859436035,22.085974299999975,1983
7.999999999999995,0.987891019172553,1958.0,21.26299500465393,21.262989399999924,1983
8.099999999999994,0.987891019172553,1958.0,21.190707206726074,21.19063899999992,1983
8.199999999999994,0.987891019172553,1958.0,26.638436794281006,26.63842390000002,1983
8.299999999999994,0.987891019172553,1958.0,23.435863733291626,23.435849799999914,1983
8.399999999999993,0.987891019172553,1958.0,23.537444591522217,23.537400299999945,1983
8.499999999999993,0.987891019172553,1958.0,23.64901304244995,23.64892580000003,1983
8.599999999999993,0.987891019172553,1958.0,23.670223236083984,23.67020990000003,1983
8.699999999999992,0.987891019172553,1958.0,28.639803171157837,28.639724399999977,1983
8.799999999999992,0.987891019172553,1958.0,42.8263201713562,42.82632160000003,1983
8.899999999999991,0.987891019172553,1958.0,35.53218483924866,35.53207480000003,1983
